rank,gene_id,f_immGA,f_matGA,matSP_holdfast,matSP_meristem,matSP_stipe,matSP_vegfrond,matSP_frond_sorus,matSP_sporophyll_sorus
1,nbis-gene-17640,8.879864000000001,36.101976,19.017947500000002,14.737038,16.049327,11.573928,17.082171,17.255518
1,nbis-gene-17641,15.4435125,59.31116,32.469722000000004,40.976544,36.777525,51.509662,44.331868,47.224167
1,nbis-gene-17642,9.8720605,1.61202,0,0,0,0,0,0
1,nbis-gene-17643,1.098082,1.516664,5.115791,20.836576,22.71804,24.420378,63.29906,52.20155
6,nbis-gene-17644,2.4833545,0,0,0,0,0,0.849619,1.035277
1,nbis-gene-17645,3.71216,2.758637,17.2568335,18.077429,18.207391,12.861822,39.817509,37.620575
7,nbis-gene-17647,35.7227925,262.108567,153.695346,40.872209,12.871654,77.742402,254.991679,238.216019
7,nbis-gene-17648,1.8505375,0,10.3477275,3.636601,1.645725,1.235996,1.894793,4.837229
5,nbis-gene-17649,3.04344,0.816325,10.2006655,22.445491,42.144448,1.311345,24.592653,32.941394
8,nbis-gene-1765,3.800414,0.322396,15.474321,38.201437,19.161103,34.536082,114.670747,120.762853
2,nbis-gene-17650,17.829777999999997,0,179.73222299999998,96.736492,130.664605,61.3719,64.961105,52.205246
6,nbis-gene-17651,38.770782999999994,0,0,7.101676,0,13.392035,6.04619,0
2,nbis-gene-17652,8.2187825,257.146547,71.030257,36.385922,10.797008,93.257127,47.85431,64.685662
1,nbis-gene-17653,3.929145,18.374467,5.4714565,3.208647,3.703838,2.987835,6.921011,6.064321
6,nbis-gene-17657,4.3946015,0,62.1379595,81.428982,98.358049,60.823294,77.505615,84.748393
1,nbis-gene-17658,9.747164,41.870614,14.473849999999999,29.239482,22.36813,34.535024,39.354978,48.326028
5,nbis-gene-17659,0.08427799999999999,0,0.989627,5.344525,4.739993,2.100278,9.366468,10.283882
7,nbis-gene-1766,10.365334,0,8.539017,21.940531,19.287388,25.086329,21.894664,16.106414
7,nbis-gene-17660,32.2201,13.19174,41.498709,32.889667,27.232017,30.993073,34.116262999999996,36.667927
1,nbis-gene-17661,87.05642950000001,9.935857,51.6114325,259.035157,237.112828,92.847986,454.569526,428.563766
1,nbis-gene-17662,10.774709999999999,5.939656,43.4395035,61.354283,52.271471,44.129512,53.315492,47.773546
1,nbis-gene-17663,3.0876295000000002,6.621883,1.284227,2.43817,2.76172,3.056477,2.022299,1.951385
